EEGNET     , leaky_relu,4.00E-04,0.4,222,0.8463
EEGNET     , relu      ,4.00E-04,0.5,292,0.8463
EEGNET     , elu       ,5.00E-04,0.3,281,0.8463
EEGNET     , relu      ,1.00E-04,0.1,264,0.8454
EEGNET     , relu      ,2.00E-04,0.4,277,0.8454
EEGNET     , leaky_relu,2.00E-04,0.1,245,0.8454
EEGNET     , leaky_relu,2.00E-04,0.3,274,0.8454
EEGNET     , leaky_relu,2.00E-04,0.3,282,0.8454
EEGNET     , relu      ,3.00E-04,0.3,291,0.8454
EEGNET     , relu      ,3.00E-04,0.3,237,0.8454
EEGNET     , leaky_relu,4.00E-04,0.1,263,0.8454
EEGNET     , relu      ,4.00E-04,0.6,280,0.8454
EEGNET     , leaky_relu,4.00E-04,0.1,140,0.8454
EEGNET     , elu       ,4.00E-04,0.3,228,0.8454
EEGNET     , leaky_relu,2.00E-04,0.2,235,0.8444
EEGNET     , relu      ,2.00E-04,0.4,277,0.8444
EEGNET     , relu      ,2.00E-04,0.2,236,0.8444
EEGNET     , leaky_relu,3.00E-04,0.3,154,0.8444
EEGNET     , relu      ,3.00E-04,0.6,236,0.8444
EEGNET     , relu      ,3.00E-04,0.6,298,0.8444
EEGNET     , leaky_relu,3.00E-04,0.1,278,0.8444
EEGNET     , leaky_relu,4.00E-04,0.1,300,0.8444
EEGNET     , relu      ,5.00E-04,0.3,279,0.8444
EEGNET     , relu      ,5.00E-04,0.5,297,0.8444
EEGNET     , leaky_relu,1.00E-04,0.3,288,0.8435
EEGNET     , relu      ,1.00E-04,0.1,300,0.8435
EEGNET     , leaky_relu,2.00E-04,0.1,292,0.8435
EEGNET     , leaky_relu,2.00E-04,0.4,267,0.8435
EEGNET     , relu      ,2.00E-04,0.2,267,0.8435
EEGNET     , leaky_relu,2.00E-04,0.2,276,0.8435
EEGNET     , leaky_relu,3.00E-04,0.5,238,0.8435
EEGNET     , leaky_relu,3.00E-04,0.1,187,0.8435
EEGNET     , relu      ,3.00E-04,0.2,201,0.8435
EEGNET     , leaky_relu,3.00E-04,0.2,248,0.8435
EEGNET     , relu      ,3.00E-04,0.4,256,0.8435
EEGNET     , leaky_relu,4.00E-04,0.7,270,0.8435
EEGNET     , relu      ,4.00E-04,0.5,258,0.8435
EEGNET     , leaky_relu,4.00E-04,0.7,294,0.8435
EEGNET     , relu      ,4.00E-04,0.1,218,0.8435
EEGNET     , leaky_relu,1.00E-04,0.1,272,0.8426
EEGNET     , leaky_relu,2.00E-04,0.4,284,0.8426
EEGNET     , leaky_relu,2.00E-04,0.4,267,0.8426
EEGNET     , leaky_relu,2.00E-04,0.5,284,0.8426
EEGNET     , relu      ,3.00E-04,0.1,202,0.8426
EEGNET     , relu      ,3.00E-04,0.6,279,0.8426
EEGNET     , relu      ,3.00E-04,0.5,274,0.8426
EEGNET     , leaky_relu,4.00E-04,0.1,238,0.8426
EEGNET     , leaky_relu,4.00E-04,0.4,278,0.8426
EEGNET     , leaky_relu,4.00E-04,0.3,274,0.8426
EEGNET     , leaky_relu,4.00E-04,0.7,264,0.8426
EEGNET     , leaky_relu,4.00E-04,0.3,296,0.8426
EEGNET     , leaky_relu,4.00E-04,0.5,223,0.8426
EEGNET     , relu      ,5.00E-04,0.6,251,0.8426
EEGNET     , leaky_relu,2.00E-04,0.3,261,0.8417
EEGNET     , relu      ,2.00E-04,0.4,298,0.8417
EEGNET     , elu       ,3.00E-04,0.1,121,0.8417
EEGNET     , leaky_relu,3.00E-04,0.4,275,0.8417
EEGNET     , leaky_relu,3.00E-04,0.3,274,0.8417
EEGNET     , relu      ,4.00E-04,0.5,271,0.8417
EEGNET     , relu      ,4.00E-04,0.6,249,0.8417
EEGNET     , relu      ,4.00E-04,0.6,296,0.8417
EEGNET     , elu       ,4.00E-04,0.2,293,0.8417
EEGNET     , relu      ,4.00E-04,0.6,276,0.8417
EEGNET     , relu      ,4.00E-04,0.6,290,0.8417
EEGNET     , leaky_relu,5.00E-04,0.5,189,0.8417
EEGNET     , relu      ,1.00E-04,0.1,191,0.8407
EEGNET     , leaky_relu,2.00E-04,0.2,162,0.8407
EEGNET     , relu      ,2.00E-04,0.2,183,0.8407
EEGNET     , leaky_relu,2.00E-04,0.3,286,0.8407
EEGNET     , leaky_relu,2.00E-04,0.4,299,0.8407
EEGNET     , relu      ,2.00E-04,0.5,300,0.8407
